Nama_Daerah,HLS,PPM,IPM,AHHL,AHHP,kategori
Region_796,18.55,37.79,50.53,71.81,67.31,Perlu Pembangunan
Region_798,19.05,22.42,38.14,60.49,67.98,Perlu Pembangunan
Region_799,19.72,34.91,51.44,68.69,74.58,Perlu Pembangunan
Region_801,18.61,33.03,35.67,77.42,56.6,Perlu Pembangunan
Region_803,13.36,5.75,56.05,60.91,65.4,Perlu Pembangunan
Region_804,8.67,12.08,53.75,77.09,65.17,Perlu Pembangunan
Region_805,14.95,3.6,37.34,54.37,75.92,Perlu Pembangunan
Region_806,6.24,13.21,56.52,75.79,53.77,Perlu Pembangunan
Region_808,9.53,44.25,57.5,61.09,61.8,Perlu Pembangunan
Region_810,6.98,33.07,43.84,78.85,62.47,Perlu Pembangunan
Region_811,10.77,35.52,39.09,65.81,67.13,Perlu Pembangunan
Region_812,17.36,24.97,57.49,67.9,66.9,Perlu Pembangunan
Region_813,15.63,22.67,43.0,77.2,70.77,Perlu Pembangunan
Region_815,16.94,3.5,45.16,72.36,63.15,Perlu Pembangunan
Region_816,12.24,41.21,53.58,67.03,67.87,Perlu Pembangunan
Region_818,19.68,20.33,42.44,60.74,70.7,Perlu Pembangunan
Region_819,19.87,35.06,50.08,56.66,68.2,Perlu Pembangunan
Region_820,4.37,18.51,58.34,77.46,63.75,Perlu Pembangunan
Region_823,10.48,28.79,44.33,66.47,78.38,Perlu Pembangunan
Region_830,4.86,38.47,43.36,64.17,61.43,Perlu Pembangunan
Region_832,10.86,34.0,44.52,55.52,55.33,Perlu Pembangunan
Region_833,19.85,29.16,48.84,56.67,74.59,Perlu Pembangunan
Region_834,4.36,40.28,38.35,54.86,67.2,Perlu Pembangunan
Region_835,18.09,18.91,54.38,66.39,68.49,Perlu Pembangunan
Region_841,17.48,6.25,59.59,75.05,55.63,Perlu Pembangunan
Region_842,9.19,39.15,43.87,58.55,73.68,Perlu Pembangunan
Region_843,16.43,29.81,35.07,78.36,55.23,Perlu Pembangunan
Region_845,4.61,37.8,51.49,71.05,64.9,Perlu Pembangunan
Region_847,19.75,43.18,52.39,61.86,55.97,Perlu Pembangunan
Region_849,15.33,42.72,41.34,70.42,65.27,Perlu Pembangunan
Region_852,4.93,24.83,50.56,67.34,65.3,Perlu Pembangunan
Region_853,13.17,11.61,36.67,56.27,56.94,Perlu Pembangunan
Region_855,15.69,17.67,44.57,76.15,54.57,Perlu Pembangunan
Region_856,18.88,24.57,42.28,74.5,58.35,Perlu Pembangunan
Region_859,18.24,6.66,57.1,69.33,65.7,Perlu Pembangunan
Region_864,15.06,30.18,36.21,70.23,56.31,Perlu Pembangunan
Region_867,16.41,29.65,56.33,53.41,63.22,Perlu Pembangunan
Region_869,17.82,13.29,35.28,61.0,72.3,Perlu Pembangunan
Region_870,11.56,5.32,36.64,64.99,56.76,Perlu Pembangunan
Region_872,9.82,4.88,38.9,69.33,65.5,Perlu Pembangunan
Region_873,15.06,37.78,41.59,53.15,59.88,Perlu Pembangunan
Region_875,13.95,15.72,44.66,60.17,78.53,Perlu Pembangunan
Region_878,4.86,17.28,58.33,56.41,63.28,Perlu Pembangunan
Region_879,17.72,40.6,39.91,71.32,53.82,Perlu Pembangunan
Region_881,10.72,34.55,45.15,66.58,63.9,Perlu Pembangunan
Region_886,15.91,40.99,47.27,74.78,65.45,Perlu Pembangunan
Region_887,17.96,29.44,38.19,61.71,70.78,Perlu Pembangunan
Region_888,5.86,27.84,53.79,79.92,63.93,Perlu Pembangunan
Region_889,17.72,16.51,37.46,62.98,75.72,Perlu Pembangunan
Region_891,14.55,32.57,41.97,57.89,65.65,Perlu Pembangunan
Region_895,9.87,33.21,53.87,78.26,78.64,Perlu Pembangunan
Region_896,14.9,5.71,50.81,65.54,71.43,Perlu Pembangunan
Region_898,13.28,42.03,45.24,66.27,57.82,Perlu Pembangunan
Region_899,6.93,18.68,51.4,56.91,68.59,Perlu Pembangunan
Region_901,15.63,35.03,52.5,65.3,78.7,Perlu Pembangunan
Region_902,7.48,5.72,58.3,62.16,74.84,Perlu Pembangunan
Region_903,13.19,3.72,40.12,79.14,58.61,Perlu Pembangunan
Region_904,8.1,23.12,38.94,78.28,53.12,Perlu Pembangunan
Region_905,6.22,37.55,35.76,56.47,79.21,Perlu Pembangunan
Region_907,6.09,37.06,46.36,67.62,76.27,Perlu Pembangunan
Region_909,4.56,6.43,59.13,69.76,76.82,Perlu Pembangunan
Region_911,13.79,18.38,59.82,67.3,71.57,Perlu Pembangunan
Region_913,15.33,12.62,53.66,55.71,63.48,Perlu Pembangunan
Region_914,7.5,29.06,35.1,66.29,72.1,Perlu Pembangunan
Region_916,12.14,12.22,44.67,58.64,73.26,Perlu Pembangunan
Region_921,9.89,7.17,44.43,73.42,73.1,Perlu Pembangunan
Region_925,5.42,39.5,37.05,55.47,57.64,Perlu Pembangunan
Region_927,13.55,41.04,58.06,66.63,76.84,Perlu Pembangunan
Region_929,17.6,43.18,49.21,73.26,76.0,Perlu Pembangunan
Region_930,14.7,37.58,47.24,70.16,69.41,Perlu Pembangunan
Region_931,10.35,20.16,41.32,59.09,79.82,Perlu Pembangunan
Region_932,5.28,4.5,54.79,75.51,67.21,Perlu Pembangunan
Region_934,11.53,40.59,49.75,64.15,71.13,Perlu Pembangunan
Region_937,18.12,15.29,35.81,55.3,74.45,Perlu Pembangunan
Region_939,10.73,36.02,37.0,63.9,55.66,Perlu Pembangunan
Region_941,7.67,25.51,41.01,77.93,78.41,Perlu Pembangunan
Region_942,9.45,16.99,46.35,70.66,61.69,Perlu Pembangunan
Region_944,19.99,38.84,39.29,71.34,61.75,Perlu Pembangunan
Region_945,4.92,25.06,46.58,63.31,69.22,Perlu Pembangunan
Region_946,7.57,25.52,38.71,74.34,53.73,Perlu Pembangunan
Region_947,10.52,6.22,52.82,69.06,69.25,Perlu Pembangunan
Region_948,7.38,36.66,43.23,59.71,72.5,Perlu Pembangunan
Region_949,5.07,25.26,59.06,53.67,74.14,Perlu Pembangunan
Region_951,13.84,40.65,54.54,74.58,79.68,Perlu Pembangunan
Region_952,14.41,38.22,46.95,55.28,57.92,Perlu Pembangunan
Region_953,6.27,4.17,40.9,79.56,65.74,Perlu Pembangunan
Region_954,10.8,30.83,56.0,65.79,77.89,Perlu Pembangunan
Region_959,11.47,44.37,54.29,73.99,60.47,Perlu Pembangunan
Region_960,15.75,39.1,35.22,55.87,55.75,Perlu Pembangunan
Region_961,18.74,39.96,36.32,77.35,62.44,Perlu Pembangunan
Region_963,6.23,28.83,57.25,63.86,74.9,Perlu Pembangunan
Region_964,14.13,30.05,49.87,67.99,66.74,Perlu Pembangunan
Region_966,16.45,29.83,45.53,68.96,53.5,Perlu Pembangunan
Region_967,11.56,8.72,46.39,77.76,71.26,Perlu Pembangunan
Region_973,11.63,30.26,52.18,76.96,62.64,Perlu Pembangunan
Region_974,13.45,23.11,42.26,63.53,78.59,Perlu Pembangunan
Region_977,9.77,11.93,45.0,76.36,54.25,Perlu Pembangunan
Region_980,6.84,12.89,34.99,54.52,75.7,Perlu Pembangunan
Region_981,10.19,44.24,59.98,57.82,79.69,Perlu Pembangunan
Region_982,6.84,7.09,44.73,69.5,60.15,Perlu Pembangunan
Region_983,9.2,12.58,41.58,69.79,60.57,Perlu Pembangunan
Region_985,13.32,37.23,54.98,64.95,68.17,Perlu Pembangunan
Region_986,17.35,38.52,59.22,66.15,56.1,Perlu Pembangunan
Region_987,17.85,4.55,52.55,68.58,77.34,Perlu Pembangunan
Region_988,10.25,2.12,50.36,60.32,56.71,Perlu Pembangunan
Region_989,7.78,28.73,49.17,61.93,55.9,Perlu Pembangunan
Region_990,7.98,26.52,42.73,78.51,70.71,Perlu Pembangunan
Region_993,10.05,5.82,39.15,77.55,71.52,Perlu Pembangunan
Region_998,13.49,19.9,46.27,67.75,64.23,Perlu Pembangunan
Region_1000,13.99,30.05,40.96,60.32,54.23,Perlu Pembangunan
Region_1003,6.19,3.06,54.22,71.35,75.49,Perlu Pembangunan
Region_1004,11.59,5.31,49.78,69.48,63.8,Perlu Pembangunan
Region_1007,15.26,10.2,40.1,54.48,79.97,Perlu Pembangunan
Region_1010,6.34,37.62,42.43,62.97,60.16,Perlu Pembangunan
Region_1011,17.13,33.11,45.14,60.8,57.68,Perlu Pembangunan
Region_1013,13.1,39.26,58.36,71.78,65.33,Perlu Pembangunan
Region_1014,8.7,14.83,56.01,67.57,53.34,Perlu Pembangunan
Region_1017,13.19,12.32,56.28,70.07,66.19,Perlu Pembangunan
Region_1019,15.65,21.48,37.6,53.85,66.73,Perlu Pembangunan
Region_1022,8.01,25.45,44.75,74.52,71.92,Perlu Pembangunan
Region_1024,14.82,40.49,53.08,66.81,68.58,Perlu Pembangunan
Region_1032,16.16,10.28,36.71,70.61,72.61,Perlu Pembangunan
Region_1034,16.85,25.9,59.42,75.01,66.0,Perlu Pembangunan
Region_1035,15.59,39.91,37.58,57.08,67.81,Perlu Pembangunan
Region_1036,11.86,20.14,55.27,72.81,64.65,Perlu Pembangunan
Region_1037,17.13,22.08,50.3,72.35,79.0,Perlu Pembangunan
Region_1039,8.86,14.26,50.58,69.34,66.7,Perlu Pembangunan
Region_1041,18.15,8.02,34.17,53.8,54.95,Perlu Pembangunan
Region_1042,7.06,31.74,56.62,66.21,68.61,Perlu Pembangunan
Region_1043,16.39,42.71,50.65,77.3,66.51,Perlu Pembangunan
Region_1044,15.97,2.44,53.41,55.71,57.19,Perlu Pembangunan
Region_1047,4.68,15.94,41.59,60.89,66.11,Perlu Pembangunan
Region_1048,4.8,10.6,48.7,79.55,55.78,Perlu Pembangunan
Region_1050,19.1,2.36,34.58,58.37,65.41,Perlu Pembangunan
Region_1051,9.06,36.39,38.58,66.1,57.29,Perlu Pembangunan
Region_1055,16.19,10.12,59.52,57.27,59.96,Perlu Pembangunan
Region_1056,11.11,13.6,45.26,60.58,76.46,Perlu Pembangunan
Region_1057,17.49,10.63,59.37,68.96,57.16,Perlu Pembangunan
Region_1058,19.38,23.01,35.47,71.33,75.83,Perlu Pembangunan
Region_1059,12.39,17.32,39.75,65.36,79.33,Perlu Pembangunan
Region_1063,11.19,39.74,40.17,55.74,74.4,Perlu Pembangunan
Region_1064,5.6,36.82,45.5,68.07,66.7,Perlu Pembangunan
Region_1065,8.0,23.06,36.47,57.44,56.21,Perlu Pembangunan
Region_1066,17.23,3.92,40.74,53.12,63.29,Perlu Pembangunan
Region_1067,17.32,9.06,56.99,63.02,55.44,Perlu Pembangunan
Region_1069,16.48,7.67,53.57,60.64,57.7,Perlu Pembangunan
Region_1071,7.21,43.17,43.38,58.66,66.37,Perlu Pembangunan
Region_1072,4.99,34.89,48.89,66.98,59.87,Perlu Pembangunan
Region_1073,14.03,19.8,34.98,61.07,72.75,Perlu Pembangunan
Region_1075,11.72,19.87,56.44,77.01,74.13,Perlu Pembangunan
Region_1076,17.51,26.37,53.44,54.0,76.92,Perlu Pembangunan
Region_1078,5.13,10.29,37.11,77.09,64.4,Perlu Pembangunan
Region_1080,17.54,44.07,36.4,56.8,64.83,Perlu Pembangunan
Region_1081,4.9,34.61,56.12,63.59,70.45,Perlu Pembangunan
Region_1082,12.65,39.27,54.99,59.43,71.15,Perlu Pembangunan
Region_1084,17.16,41.2,48.45,58.72,53.18,Perlu Pembangunan
Region_1085,10.76,18.68,37.45,70.36,71.35,Perlu Pembangunan
Region_1088,16.86,20.13,55.87,58.02,62.91,Perlu Pembangunan
Region_1093,6.28,11.05,48.52,58.18,78.26,Perlu Pembangunan
Region_1095,12.91,4.09,51.13,64.19,59.68,Perlu Pembangunan
Region_1097,17.16,17.26,41.87,69.66,67.92,Perlu Pembangunan
Region_1098,8.94,3.17,54.24,57.86,67.35,Perlu Pembangunan
Region_1103,16.6,44.49,38.01,71.59,74.5,Perlu Pembangunan
Region_1106,18.05,11.07,46.31,72.15,77.2,Perlu Pembangunan
Region_1110,11.61,41.8,58.78,77.93,69.12,Perlu Pembangunan
Region_1118,12.63,21.59,53.55,73.45,53.76,Perlu Pembangunan
Region_1121,6.15,26.73,35.13,77.67,77.13,Perlu Pembangunan
Region_1123,6.14,23.88,56.9,75.69,77.35,Perlu Pembangunan
Region_1125,8.23,13.01,52.86,69.25,71.38,Perlu Pembangunan
Region_1126,4.49,12.27,34.83,64.34,79.88,Perlu Pembangunan
Region_1127,9.18,19.78,44.06,77.5,54.42,Perlu Pembangunan
Region_1128,10.55,8.31,43.12,57.47,57.34,Perlu Pembangunan
Region_1130,4.7,4.12,55.14,58.81,79.61,Perlu Pembangunan
Region_1133,11.26,21.86,57.61,56.29,65.64,Perlu Pembangunan
Region_1136,19.5,5.83,58.29,53.86,53.95,Perlu Pembangunan
Region_1137,7.13,18.97,56.93,63.04,73.54,Perlu Pembangunan
Region_1139,15.84,15.57,47.18,69.74,67.36,Perlu Pembangunan
Region_1142,6.3,8.35,58.0,58.2,57.29,Perlu Pembangunan
Region_1147,9.77,32.61,52.27,67.67,55.1,Perlu Pembangunan
Region_1148,10.37,41.85,39.91,73.74,56.76,Perlu Pembangunan
Region_1150,13.77,11.34,43.76,76.29,67.19,Perlu Pembangunan
Region_1152,4.23,15.06,47.51,79.57,56.19,Perlu Pembangunan
Region_1156,12.63,22.27,41.65,53.55,64.89,Perlu Pembangunan
Region_1158,12.82,24.18,47.64,60.59,57.83,Perlu Pembangunan
Region_1159,15.4,44.52,41.23,68.36,74.14,Perlu Pembangunan
Region_1161,18.44,41.39,54.64,63.94,59.16,Perlu Pembangunan
Region_1166,7.79,26.73,58.73,75.06,60.86,Perlu Pembangunan
Region_1169,10.6,11.25,54.12,59.73,57.48,Perlu Pembangunan
Region_1170,13.7,25.28,45.67,61.33,61.59,Perlu Pembangunan
Region_1171,10.16,44.76,55.47,77.0,56.68,Perlu Pembangunan
Region_1172,14.92,21.41,40.89,57.68,73.2,Perlu Pembangunan
Region_1177,13.4,14.53,56.33,76.13,55.29,Perlu Pembangunan
Region_1178,18.71,16.68,41.34,67.57,68.16,Perlu Pembangunan
Region_1182,19.92,5.51,58.96,65.39,58.19,Perlu Pembangunan
Region_1183,19.52,27.54,43.64,78.37,78.72,Perlu Pembangunan
Region_1185,16.0,9.94,37.96,60.55,69.13,Perlu Pembangunan
Region_1189,9.25,32.23,40.88,76.68,73.49,Perlu Pembangunan
Region_1190,5.81,42.89,52.16,60.36,60.23,Perlu Pembangunan
Region_1194,5.0,9.47,54.0,78.36,57.18,Perlu Pembangunan
Region_1195,14.94,36.18,50.78,71.9,60.4,Perlu Pembangunan
Region_1196,5.27,23.46,36.79,54.11,53.58,Perlu Pembangunan
Region_1197,19.2,34.28,53.04,78.6,62.92,Perlu Pembangunan
Region_1198,12.02,35.64,46.4,75.46,77.46,Perlu Pembangunan
Region_1201,5.78,2.17,54.49,75.33,55.92,Perlu Pembangunan
Region_1203,19.22,25.86,44.24,71.26,60.54,Perlu Pembangunan
Region_1205,17.95,37.53,40.15,58.29,58.66,Perlu Pembangunan
Region_1208,8.07,20.83,58.18,71.99,72.81,Perlu Pembangunan
Region_1210,13.98,18.75,41.57,55.0,64.32,Perlu Pembangunan
Region_1216,15.97,33.98,35.22,73.61,73.16,Perlu Pembangunan
Region_1218,8.18,23.35,53.91,68.93,62.11,Perlu Pembangunan
Region_1220,7.09,4.52,54.11,77.75,58.91,Perlu Pembangunan
Region_1223,14.11,23.53,34.34,75.35,59.2,Perlu Pembangunan
Region_1224,4.54,32.29,58.03,75.39,54.77,Perlu Pembangunan
Region_1225,19.42,26.5,53.78,53.6,61.9,Perlu Pembangunan
Region_1226,15.85,18.03,40.17,67.64,75.75,Perlu Pembangunan
Region_1228,17.14,13.86,37.32,71.16,68.2,Perlu Pembangunan
Region_1233,19.83,14.13,59.83,53.3,73.7,Perlu Pembangunan
Region_1236,15.26,31.99,48.49,73.43,57.53,Perlu Pembangunan
Region_1241,16.19,6.87,46.63,66.46,57.38,Perlu Pembangunan
Region_1242,10.75,18.87,52.52,72.47,59.27,Perlu Pembangunan
Region_1244,13.94,8.99,45.56,78.51,72.56,Perlu Pembangunan
Region_1245,16.83,29.91,38.07,55.48,67.28,Perlu Pembangunan
Region_1250,5.38,11.92,34.34,71.33,78.87,Perlu Pembangunan
Region_1253,16.75,9.66,36.86,71.55,74.67,Perlu Pembangunan
Region_1257,17.8,37.47,59.33,74.19,66.71,Perlu Pembangunan
Region_1258,6.56,39.02,55.58,67.61,69.82,Perlu Pembangunan
Region_1260,6.95,3.66,50.82,75.68,63.3,Perlu Pembangunan
Region_1262,8.0,43.5,56.73,75.1,66.2,Perlu Pembangunan
Region_1265,7.05,11.51,58.11,60.5,61.55,Perlu Pembangunan
Region_1266,13.46,8.32,50.45,58.83,79.54,Perlu Pembangunan
Region_1267,4.59,3.28,35.04,73.61,59.26,Perlu Pembangunan
Region_1270,16.03,12.96,56.81,59.87,74.35,Perlu Pembangunan
Region_1271,8.88,39.3,40.45,67.96,53.68,Perlu Pembangunan
Region_1274,8.88,22.8,59.58,59.02,54.4,Perlu Pembangunan
Region_1275,18.65,41.52,36.98,57.77,53.91,Perlu Pembangunan
Region_1277,8.46,27.52,41.75,71.42,56.8,Perlu Pembangunan
Region_1278,9.52,38.11,58.41,53.11,68.64,Perlu Pembangunan
Region_1279,5.48,30.12,55.95,56.01,68.9,Perlu Pembangunan
Region_1281,9.82,10.1,47.67,57.46,59.82,Perlu Pembangunan
Region_1282,5.78,34.82,36.76,75.49,55.2,Perlu Pembangunan
Region_1284,17.16,31.74,50.98,76.19,74.6,Perlu Pembangunan
Region_1285,7.75,33.16,51.08,75.79,79.34,Perlu Pembangunan
Region_1286,18.09,11.73,38.36,76.19,58.2,Perlu Pembangunan
Region_1287,8.52,15.66,34.36,78.66,70.4,Perlu Pembangunan
Region_1294,11.94,40.4,44.11,59.19,68.8,Perlu Pembangunan
Region_1296,9.99,12.94,43.8,66.13,69.38,Perlu Pembangunan
Region_1297,15.23,7.99,51.43,77.38,62.31,Perlu Pembangunan
Region_1298,15.86,4.18,41.83,69.49,55.59,Perlu Pembangunan
Region_1301,4.53,27.88,42.93,79.75,55.47,Perlu Pembangunan
Region_1303,18.86,10.0,46.55,64.69,53.51,Perlu Pembangunan
Region_1304,14.61,25.35,47.9,62.19,65.86,Perlu Pembangunan
Region_1307,11.39,30.21,51.92,70.4,55.65,Perlu Pembangunan
Region_1308,12.58,24.48,50.25,55.29,59.63,Perlu Pembangunan
Region_1310,19.41,27.31,38.33,67.12,75.78,Perlu Pembangunan
Region_1312,13.6,34.51,39.35,68.77,75.53,Perlu Pembangunan
Region_1317,19.95,39.16,53.13,64.99,74.12,Perlu Pembangunan
Region_1319,14.18,8.38,55.43,66.81,73.6,Perlu Pembangunan
Region_1321,9.74,22.72,34.9,57.16,53.37,Perlu Pembangunan
Region_1322,7.46,18.2,39.56,68.14,64.15,Perlu Pembangunan
Region_1324,7.86,28.38,37.94,61.66,54.14,Perlu Pembangunan
Region_1325,11.57,32.19,43.26,59.31,75.18,Perlu Pembangunan
Region_1329,14.24,14.23,44.72,54.61,68.69,Perlu Pembangunan
Region_1330,14.22,8.93,56.66,57.46,75.75,Perlu Pembangunan
Region_1332,14.67,17.49,56.61,73.67,56.8,Perlu Pembangunan
Region_1333,13.36,43.16,43.17,69.7,70.74,Perlu Pembangunan
Region_1337,5.6,43.23,50.71,57.41,60.5,Perlu Pembangunan
Region_1338,11.8,42.47,42.4,71.19,70.1,Perlu Pembangunan
Region_1341,19.83,30.87,44.1,79.15,70.84,Perlu Pembangunan
Region_1345,12.79,33.45,54.66,76.92,60.48,Perlu Pembangunan
Region_1346,4.53,24.68,58.22,65.73,65.8,Perlu Pembangunan
Region_1348,19.26,42.26,47.4,73.09,54.38,Perlu Pembangunan
Region_1351,4.98,32.97,40.35,63.34,55.82,Perlu Pembangunan
Region_1352,11.37,4.27,37.48,75.57,56.3,Perlu Pembangunan
Region_1353,7.24,26.22,57.35,53.54,65.43,Perlu Pembangunan
Region_1355,15.44,7.54,51.99,66.54,54.73,Perlu Pembangunan
Region_1356,13.25,6.84,50.16,77.77,59.7,Perlu Pembangunan
Region_1358,16.0,32.07,56.65,68.99,58.57,Perlu Pembangunan
Region_1361,9.83,2.47,47.02,64.64,66.24,Perlu Pembangunan
Region_1362,16.38,22.37,37.84,77.79,79.72,Perlu Pembangunan
Region_1366,11.4,40.76,43.63,79.76,61.78,Perlu Pembangunan
Region_1367,14.85,16.67,48.15,67.59,67.63,Perlu Pembangunan
Region_1368,11.23,9.19,46.83,76.94,73.74,Perlu Pembangunan
Region_1369,12.7,17.94,56.82,70.45,74.94,Perlu Pembangunan
Region_1372,15.97,13.28,43.59,60.75,55.47,Perlu Pembangunan
Region_1373,8.84,36.33,40.37,77.26,60.19,Perlu Pembangunan
Region_1375,12.82,4.22,44.22,53.32,59.37,Perlu Pembangunan
Region_1377,19.4,14.35,53.06,57.21,54.9,Perlu Pembangunan
Region_1379,9.01,39.12,55.92,58.5,78.12,Perlu Pembangunan
Region_1381,9.05,2.52,38.42,57.87,77.56,Perlu Pembangunan
Region_1382,18.67,22.53,52.76,75.06,73.67,Perlu Pembangunan
Region_1391,5.07,43.3,51.12,60.96,69.75,Perlu Pembangunan
Region_1392,10.77,37.88,52.9,67.96,54.1,Perlu Pembangunan
Region_1393,13.12,38.35,36.33,69.12,61.66,Perlu Pembangunan
Region_1395,7.23,5.37,55.31,70.71,65.52,Perlu Pembangunan
Region_1397,15.5,9.07,47.1,76.84,77.1,Perlu Pembangunan
Region_1403,19.58,19.75,38.55,73.22,53.93,Perlu Pembangunan
Region_1404,9.25,43.51,58.09,61.36,56.8,Perlu Pembangunan
Region_1405,18.91,41.44,48.19,60.4,55.13,Perlu Pembangunan
Region_1406,11.72,36.44,48.77,67.4,58.9,Perlu Pembangunan
Region_1407,15.27,17.03,52.09,74.12,65.3,Perlu Pembangunan
Region_1409,9.21,6.18,54.86,77.94,59.3,Perlu Pembangunan
Region_1410,19.77,25.63,54.0,77.01,74.66,Perlu Pembangunan
Region_1411,13.34,6.56,35.83,79.93,78.36,Perlu Pembangunan
Region_1412,6.25,20.94,52.99,79.3,72.92,Perlu Pembangunan
Region_1414,17.8,25.21,36.65,56.23,72.1,Perlu Pembangunan
Region_1417,5.88,16.19,45.37,69.29,73.34,Perlu Pembangunan
Region_1421,7.99,10.41,49.43,65.43,66.45,Perlu Pembangunan
Region_1423,12.62,42.44,59.02,75.77,69.55,Perlu Pembangunan
Region_1428,13.26,35.85,47.38,76.6,59.57,Perlu Pembangunan
Region_1430,4.48,42.39,51.26,62.97,62.56,Perlu Pembangunan
Region_1433,19.71,26.19,37.42,77.6,54.63,Perlu Pembangunan
Region_1435,10.99,20.99,46.75,78.86,67.76,Perlu Pembangunan
Region_1437,7.98,28.01,55.14,60.27,53.4,Perlu Pembangunan
Region_1438,10.71,27.69,59.53,59.89,75.3,Perlu Pembangunan
Region_1442,13.72,3.76,59.66,58.23,71.76,Perlu Pembangunan
Region_1444,7.83,38.61,42.68,69.27,71.8,Perlu Pembangunan
Region_1445,13.69,22.48,59.37,53.47,71.11,Perlu Pembangunan
Region_1446,16.01,37.89,43.62,78.01,66.23,Perlu Pembangunan
Region_1449,16.79,38.09,47.56,69.91,61.73,Perlu Pembangunan
Region_1452,5.76,3.48,42.53,56.42,58.66,Perlu Pembangunan
Region_1454,13.86,9.99,48.88,71.42,65.91,Perlu Pembangunan
Region_1458,8.3,26.27,41.35,75.96,61.38,Perlu Pembangunan
Region_1459,16.02,9.14,44.94,70.53,66.47,Perlu Pembangunan
Region_1460,14.67,2.22,58.52,69.92,60.33,Perlu Pembangunan
Region_1463,15.64,26.89,49.47,60.14,69.56,Perlu Pembangunan
Region_1466,13.61,43.74,57.96,78.57,77.3,Perlu Pembangunan
Region_1467,7.67,27.19,58.19,55.38,55.41,Perlu Pembangunan
Region_1468,13.26,24.5,39.33,76.41,65.15,Perlu Pembangunan
Region_1469,16.5,37.11,43.75,66.87,57.57,Perlu Pembangunan
Region_1473,8.92,36.52,49.77,67.79,62.81,Perlu Pembangunan
Region_1475,4.99,4.44,47.66,61.2,53.4,Perlu Pembangunan
Region_1476,16.53,16.34,58.88,58.25,60.77,Perlu Pembangunan
Region_1477,12.99,9.21,56.41,63.11,56.54,Perlu Pembangunan
Region_1478,8.12,20.27,46.12,53.02,67.29,Perlu Pembangunan
Region_1479,7.5,31.66,35.04,53.68,58.24,Perlu Pembangunan
Region_1481,9.26,29.07,45.05,61.31,69.82,Perlu Pembangunan
Region_1485,14.89,29.61,52.78,73.17,72.88,Perlu Pembangunan
Region_1487,15.06,40.47,57.68,62.22,62.98,Perlu Pembangunan
Region_1489,4.47,38.04,37.07,58.07,74.2,Perlu Pembangunan
Region_1491,4.84,33.25,34.64,57.86,59.99,Perlu Pembangunan
Region_1493,10.21,19.83,45.79,57.51,68.13,Perlu Pembangunan
Region_1495,5.94,27.54,55.02,54.53,77.61,Perlu Pembangunan
Region_1502,4.54,36.62,49.74,69.51,53.5,Perlu Pembangunan
Region_1505,11.76,7.09,57.59,62.68,54.77,Perlu Pembangunan
Region_1508,8.56,37.98,49.94,66.22,53.22,Perlu Pembangunan
Region_1510,5.12,19.22,42.43,79.15,74.44,Perlu Pembangunan
Region_1512,5.2,43.63,55.26,66.59,78.16,Perlu Pembangunan
Region_1515,16.88,23.54,52.33,60.72,68.28,Perlu Pembangunan
Region_1516,4.39,13.66,40.45,65.96,62.46,Perlu Pembangunan
Region_1518,13.35,3.91,50.16,53.11,75.56,Perlu Pembangunan
Region_1520,7.35,17.12,47.82,53.27,63.62,Perlu Pembangunan
Region_1522,15.22,42.2,45.77,77.71,58.6,Perlu Pembangunan
Region_1525,14.05,7.24,50.21,60.72,59.28,Perlu Pembangunan
Region_1528,18.82,37.39,45.84,66.01,59.2,Perlu Pembangunan
Region_1530,11.48,35.33,57.03,71.15,73.16,Perlu Pembangunan
Region_1532,9.15,10.8,51.88,74.22,56.91,Perlu Pembangunan
Region_1536,15.93,5.35,50.55,59.32,65.13,Perlu Pembangunan
Region_1537,12.47,21.9,37.11,55.12,79.7,Perlu Pembangunan
Region_1538,8.43,29.53,40.19,56.18,64.61,Perlu Pembangunan
Region_1542,15.36,24.34,55.0,56.15,54.21,Perlu Pembangunan
Region_1544,9.42,20.2,55.69,67.24,53.29,Perlu Pembangunan
Region_1551,8.82,8.99,38.4,59.49,65.53,Perlu Pembangunan
Region_1553,15.29,15.07,43.7,55.2,78.81,Perlu Pembangunan
Region_1554,16.49,22.42,57.14,65.3,66.8,Perlu Pembangunan
Region_1555,9.05,42.69,38.68,58.04,73.12,Perlu Pembangunan
Region_1558,17.76,17.7,42.66,58.22,57.76,Perlu Pembangunan
Region_1559,17.23,6.21,47.31,68.32,77.6,Perlu Pembangunan
Region_1560,14.73,42.74,54.8,60.06,59.56,Perlu Pembangunan
Region_1563,12.12,6.13,41.77,55.75,78.36,Perlu Pembangunan
Region_1565,14.14,28.18,40.03,55.27,75.28,Perlu Pembangunan
Region_1566,12.73,35.87,36.32,74.55,57.36,Perlu Pembangunan
Region_1568,17.97,22.17,41.12,68.86,62.59,Perlu Pembangunan
Region_1570,17.02,26.6,47.46,60.11,73.73,Perlu Pembangunan
Region_1571,5.74,28.4,53.23,75.37,79.8,Perlu Pembangunan
Region_1576,10.34,2.04,42.05,73.06,55.19,Perlu Pembangunan
Region_1578,7.54,38.22,55.27,60.05,78.94,Perlu Pembangunan
Region_1580,9.0,17.68,38.35,58.42,61.84,Perlu Pembangunan
Region_1583,15.0,9.12,39.48,69.45,79.97,Perlu Pembangunan
Region_1584,16.68,41.57,47.73,67.63,55.35,Perlu Pembangunan
Region_1585,6.3,10.76,52.83,59.68,66.5,Perlu Pembangunan
